Year,Province Code,Province Name,Total,Male,Female,Total Illiterate,Male Illiterate,Female Illiterate,Total Literate Without Diploma,Male Literate Without Diploma,Female Literate Without Diploma,Total Primary School,Male Primary School,Female Primary School,Total Primary Education,Male Primary Education,Female Primary Education,Total Lower Secondary School,Male Lower Secondary School,Female Lower Secondary School,Total Upper Secondary School,Male Upper Secondary School,Female Upper Secondary School,Total Universities and Higher Institutions,Male Universities and Higher Institutions,Female Universities and Higher Institutions,Total Master,Male Master,Female Master,Total Doctorate,Male Doctorate,Female Doctorate
,50,Nevşehir,286 310,140 231,146 079,6 015,832,5 183,23 642,9 954,13 688,70 896,29 239,41 657,21 616,11 453,10 163,49 562,27 248,22 314,66 767,36 780,29 987,40 336,20 726,19 610,4 389,2 414,1 975,861,485,376
,51,Niğde,344 712,172 101,172 611,8 803,1 180,7 623,31 694,13 601,18 093,86 886,37 392,49 494,28 468,16 173,12 295,67 999,37 754,30 245,72 524,40 960,31 564,41 483,21 160,20 323,5 082,2 888,2 194,1 000,616,384
,52,Ordu,723 343,359 910,363 433,32 008,5 322,26 686,76 666,27 987,48 679,175 557,82 553,93 004,50 715,28 253,22 462,122 196,68 217,53 979,156 402,90 911,65 491,96 687,49 558,47 129,9 238,5 100,4 138,1 310,790,520
,53,Rize,326 997,163 289,163 708,8 656,972,7 684,28 313,9 925,18 388,69 662,30 685,38 977,22 443,12 752,9 691,51 300,27 579,23 721,86 594,50 095,36 499,52 719,27 414,25 305,5 489,2 894,2 595,976,600,376
,54,Sakarya,991 508,495 592,495 916,19 096,3 234,15 862,80 777,35 946,44 831,228 463,93 978,134 485,67 682,36 948,30 734,165 940,90 653,75 287,256 740,145 752,110 988,148 035,75 556,72 479,16 893,9 292,7 601,2 800,1 804,996
,55,Samsun,1 269 468,626 515,642 953,24 662,4 700,19 962,130 493,50 841,79 652,306 784,137 350,169 434,90 830,51 463,39 367,205 504,111 047,94 457,280 531,153 713,126 818,199 228,100 872,98 356,21 966,11 514,10 452,3 719,2 227,1 492
,56,Siirt,305 822,159 461,146 361,16 910,2 318,14 592,45 185,19 401,25 784,52 676,24 067,28 609,15 636,9 071,6 565,70 382,36 467,33 915,63 426,41 526,21 900,36 349,23 187,13 162,3 898,2 724,1 174,527,385,142
,57,Sinop,215 194,106 702,108 492,6 505,1 208,5 297,18 715,7 466,11 249,62 260,27 559,34 701,19 157,10 827,8 330,32 401,18 297,14 104,43 489,23 974,19 515,28 141,14 937,13 204,2 779,1 557,1 222,578,324,254
,58,Sivas,600 189,299 106,301 083,23 502,3 197,20 305,54 056,22 610,31 446,135 098,57 909,77 189,38 654,20 521,18 133,101 151,55 204,45 947,147 287,86 123,61 164,84 060,44 671,39 389,10 250,5 706,4 544,1 968,1 203,765
,59,Tekirdağ,1 072 291,546 970,525 321,13 810,2 923,10 887,90 821,40 660,50 161,234 610,99 247,135 363,90 934,49 938,40 996,194 804,106 063,88 741,266 531,156 156,110 375,159 286,80 998,78 288,15 789,8 232,7 557,1 935,1 120,815
,60,Tokat,562 927,278 226,284 701,12 987,2 481,10 506,61 152,23 462,37 690,144 301,59 720,84 581,44 241,23 970,20 271,94 793,52 278,42 515,119 387,68 774,50 613,74 789,41 144,33 645,7 998,4 670,3 328,1 457,903,554
,61,Trabzon,757 217,374 475,382 742,22 940,2 959,19 981,70 420,26 804,43 616,159 704,68 688,91 016,41 888,23 794,18 094,111 454,60 846,50 608,198 049,111 409,86 640,130 708,68 237,62 471,14 431,7 675,6 756,3 152,1 904,1 248
,62,Tunceli,83 450,44 009,39 441,3 895,601,3 294,5 933,2 289,3 644,14 915,7 165,7 750,4 908,2 789,2 119,10 519,6 089,4 430,24 496,14 456,10 040,16 115,9 112,7 003,1 565,880,685,254,159,95
,63,Şanlıurfa,1 867 101,939 156,927 945,109 031,13 552,95 479,347 259,148 935,198 324,398 822,188 138,210 684,103 971,69 909,34 062,451 892,243 259,208 633,282 081,176 993,105 088,147 428,83 407,64 021,16 770,10 619,6 151,1 604,1 108,496
,64,Uşak,346 251,171 284,174 967,5 651,1 056,4 595,29 886,11 850,18 036,86 395,36 337,50 058,33 371,18 214,15 157,57 419,31 716,25 703,77 473,42 675,34 798,48 219,25 135,23 084,5 097,2 833,2 264,973,601,372
,65,Van,994 304,507 129,487 175,46 900,6 912,39 988,166 038,66 046,99 992,199 251,92 978,106 273,59 052,38 131,20 921,225 580,125 772,99 808,181 521,111 156,70 365,99 365,56 043,43 322,12 751,8 290,4 461,1 765,1 237,528
,66,Yozgat,384 411,191 069,193 342,12 580,1 968,10 612,36 400,15 472,20 928,101 755,41 844,59 911,26 273,13 780,12 493,65 546,36 209,29 337,85 807,51 594,34 213,45 044,24 264,20 780,4 569,2 771,1 798,717,431,286
,67,Zonguldak,556 794,275 968,280 826,21 998,2 527,19 471,42 411,16 035,26 376,140 210,58 279,81 931,44 827,26 800,18 027,84 801,46 653,38 148,134 473,80 007,54 466,76 284,39 618,36 666,7 618,3 966,3 652,1 237,698,539
,68,Aksaray,387 358,192 291,195 067,12 012,1 598,10 414,38 259,16 882,21 377,95 930,40 911,55 019,32 218,17 751,14 467,77 160,42 247,34 913,74 622,43 023,31 599,44 542,22 796,21 746,5 869,3 457,2 412,938,588,350
,69,Bayburt,79 724,40 281,39 443,2 529,265,2 264,6 643,2 716,3 927,16 693,6 866,9 827,5 713,2 865,2 848,12 465,6 831,5 634,21 855,12 539,9 316,11 569,6 865,4 704,1 326,795,531,348,234,114
,70,Karaman,241 921,120 121,121 800,4 215,895,3 320,20 143,9 012,11 131,60 303,25 428,34 875,22 046,11 708,10 338,42 219,22 817,19 402,52 160,28 190,23 970,33 738,18 047,15 691,4 067,2 347,1 720,690,432,258
,71,Kırıkkale,262 428,130 608,131 820,6 307,736,5 571,20 035,8 161,11 874,52 824,19 105,33 719,15 845,7 426,8 419,44 935,24 074,20 861,77 662,45 769,31 893,39 092,22 017,17 075,4 403,2 579,1 824,602,413,189
,72,Batman,569 269,287 641,281 628,23 431,3 470,19 961,81 209,34 534,46 675,97 114,43 472,53 642,35 773,20 117,15 656,129 241,67 631,61 610,126 388,74 948,51 440,64 987,36 470,28 517,8 293,5 661,2 632,598,435,163
,73,Şırnak,492 304,259 390,232 914,23 831,3 330,20 501,73 544,32 362,41 182,80 736,40 045,40 691,18 917,10 658,8 259,125 799,66 159,59 640,107 127,68 112,39 015,51 729,32 620,19 109,4 947,3 442,1 505,280,204,76
,74,Bartın,193 998,96 087,97 911,5 700,1 114,4 586,17 915,6 112,11 803,47 672,20 866,26 806,20 586,12 120,8 466,30 011,15 808,14 203,43 520,24 881,18 639,24 420,12 892,11 528,2 511,1 403,1 108,540,339,201
,75,Ardahan,85 987,44 680,41 307,3 966,562,3 404,7 640,3 304,4 336,20 953,9 440,11 513,6 434,3 707,2 727,16 528,9 434,7 094,18 248,11 577,6 671,10 320,5 659,4 661,1 184,691,493,239,150,89
,76,Iğdır,188 657,99 041,89 616,9 643,1 461,8 182,25 568,11 563,14 005,35 996,18 871,17 125,12 931,7 538,5 393,38 609,22 365,16 244,38 857,22 773,16 084,22 741,12 078,10 663,2 577,1 553,1 024,399,294,105
,77,Yalova,260 684,129 972,130 712,3 914,724,3 190,20 578,9 086,11 492,52 498,21 554,30 944,14 733,8 070,6 663,43 051,23 108,19 943,68 896,37 591,31 305,47 512,24 775,22 737,5 431,2 957,2 474,823,541,282
,78,Karabük,230 120,113 957,116 163,7 548,1 059,6 489,16 480,6 583,9 897,51 418,21 167,30 251,16 818,8 608,8 210,33 204,18 423,14 781,59 903,34 009,25 894,39 079,20 978,18 101,4 241,2 268,1 973,926,641,285
,79,Kilis,137 831,69 286,68 545,3 181,653,2 528,15 641,7 345,8 296,24 138,11 296,12 842,11 706,6 049,5 657,30 467,15 873,14 594,30 869,16 160,14 709,18 516,10 073,8 443,2 123,1 276,847,319,203,116
,80,Osmaniye,509 660,255 852,253 808,18 987,3 382,15 605,51 620,23 871,27 749,106 301,45 139,61 162,33 020,19 015,14 005,97 677,53 003,44 674,117 410,66 109,51 301,73 058,38 996,34 062,7 394,4 290,3 104,632,390,242
,81,Düzce,374 405,186 648,187 757,8 337,1 351,6 986,32 999,13 461,19 538,84 342,35 130,49 212,32 819,18 618,14 201,61 814,33 265,28 549,92 546,52 993,39 553,53 391,27 446,25 945,5 482,2 937,2 545,1 103,697,406
