Province code,,Province name,,General Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
10,,  Balıkesir,,1 060 926,525 160,535 766,16 351,2 794,13 557,32 238,8 291,23 947,264 422,102 758,161 664,76 011,41 908,34 103,166 756,92 020,74 736,273 717,153 314,120 403,202 141,108 422,93 719,19 916,10 844,9 072,2 868,1 756,1 112,6 506,3 053,3 453
11,,  Bilecik,,183 662,92 590,91 072,2 579,399,2 180,2 811,620,2 191,40 762,14 538,26 224,14 554,7 490,7 064,30 442,16 870,13 572,56 091,33 041,23 050,32 356,17 423,14 933,3 076,1 671,1 405,533,323,210,458,215,243
12,,  Bingöl,,213 751,107 135,106 616,11 683,1 780,9 903,9 909,2 776,7 133,25 633,11 289,14 344,17 460,9 964,7 496,42 777,22 321,20 456,68 578,37 001,31 577,32 597,18 743,13 854,3 706,2 404,1 302,583,439,144,825,418,407
13,,  Bitlis,,250 110,129 435,120 675,13 196,1 743,11 453,15 343,3 684,11 659,32 428,13 623,18 805,20 457,11 752,8 705,64 196,34 685,29 511,64 984,39 848,25 136,34 183,20 823,13 360,3 930,2 627,1 303,453,311,142,940,339,601
14,,  Bolu,,263 290,129 365,133 925,6 054,773,5 281,6 901,1 527,5 374,58 093,22 497,35 596,21 282,10 583,10 699,37 653,20 971,16 682,77 821,44 188,33 633,47 869,24 753,23 116,5 552,2 918,2 634,1 293,799,494,772,356,416
15,,  Burdur,,229 515,113 799,115 716,4 173,526,3 647,6 614,1 117,5 497,57 894,23 110,34 784,17 795,9 585,8 210,35 955,20 530,15 425,60 713,33 768,26 945,40 113,21 669,18 444,4 475,2 550,1 925,900,529,371,883,415,468
16,,  Bursa,,2 508 075,1 243 664,1 264 411,46 991,5 782,41 209,51 293,11 257,40 036,456 047,166 800,289 247,210 778,113 570,97 208,466 241,249 640,216 601,720 500,412 391,308 109,484 338,247 223,237 115,49 281,25 686,23 595,6 277,3 707,2 570,16 329,7 608,8 721
17,,  Çanakkale,,479 029,238 949,240 080,4 579,923,3 656,13 933,4 073,9 860,120 766,48 427,72 339,30 636,16 751,13 885,68 922,37 963,30 959,125 433,70 325,55 108,98 964,52 451,46 513,11 887,6 001,5 886,2 396,1 391,1 005,1 513,644,869
18,,  Çankırı,,167 592,83 294,84 298,5 238,657,4 581,5 562,1 198,4 364,41 313,16 035,25 278,14 213,7 163,7 050,27 411,15 653,11 758,45 967,27 108,18 859,24 341,13 458,10 883,2 512,1 456,1 056,482,291,191,553,275,278
19,,  Çorum,,430 093,211 581,218 512,16 346,2 567,13 779,22 011,5 595,16 416,106 618,44 107,62 511,40 811,22 889,17 922,72 530,40 316,32 214,98 604,56 460,42 144,63 490,34 269,29 221,6 548,3 779,2 769,985,626,359,2 150,973,1 177
